model,arch,definition,workload,exp_dir,test_path
gemini-3.1-pro-preview,hopper,mha_with_lse_h48_d128,f4a505f6-a887-44ae-9000-88553af1e433,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0503-2313,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d128_bc38b351-d595-451b-9153-8e225702e53b.py
gemini-3.1-pro-preview,hopper,mha_bwd_h48_d128,28a58a7c-05ba-4ce2-9538-a85f60ee7077,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0506-0930,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_f5645ae3-e24f-5534-9d30-c46b68a8ffea.py
gemini-3.1-pro-preview,hopper,mha_with_lse_d128,bc38b351-d595-451b-9153-8e225702e53b,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0529-2340,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d128_bc38b351-d595-451b-9153-8e225702e53b.py
gemini-3.1-pro-preview,hopper,mha_with_lse_d128_causal,6d2f67a7-225a-4af5-87d3-cbb99b496325,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0530-0140,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d128_causal_6d2f67a7-225a-4af5-87d3-cbb99b496325.py
gemini-3.1-pro-preview,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0530-0340,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py
gemini-3.1-pro-preview,hopper,mha_with_lse_d128_causal,6d2f67a7-225a-4af5-87d3-cbb99b496325,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0609-2140,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d128_causal_6d2f67a7-225a-4af5-87d3-cbb99b496325.py
gemini-3.1-pro-preview,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0609-2240,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_38c3b07c-f006-5f5e-9860-ba214c805a6b.py
gemini-3.1-pro-preview,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0609-2340,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d128_causal_c119b3f0-c051-5e96-9c2a-2268d992fe1a.py
gemini-3.1-pro-preview,hopper,mha_with_lse_d64,7d2575a0-bcc2-42a0-812f-6a7e9a57d97f,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0610-1120,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d64_7d2575a0-bcc2-42a0-812f-6a7e9a57d97f.py
gemini-3.1-pro-preview,hopper,mha_with_lse_d64_causal,b69f7675-568f-40f2-9a4b-8bbe374b4a59,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0610-1220,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0426-1410/mha_with_lse_d64_causal_b69f7675-568f-40f2-9a4b-8bbe374b4a59.py
gemini-3.1-pro-preview,hopper,mha_bwd_d64,d3bcb902-6a13-5ada-9251-fa841b10cd0b,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0610-1320,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d64_d3bcb902-6a13-5ada-9251-fa841b10cd0b.py
gemini-3.1-pro-preview,hopper,mha_bwd_d64_causal,5799ea50-77aa-56cb-9f62-a4c1f5473770,${PTXBENCH_DATA_ROOT}/eval_runs/2026-0610-1420,${MINI_PTX_AGENT_ROOT}/fib_runtime/multiturn/2026-0427-1308/mha_bwd_d64_causal_5799ea50-77aa-56cb-9f62-a4c1f5473770.py
