definition_name,workload_uuid,S
mha_h48_d128,6852a995-7ff8-411a-a1d5-a69f2b2d2b3b,128
mha_h48_d128,6d39d844-314a-4f73-9ff3-7a1a4fc15b91,256
mha_h48_d128,13966b85-da31-4e3a-b92e-961566334379,512
mha_h48_d128,983dd0c9-1be0-45f9-a7ee-011774add717,1024
mha_h48_d128,e2753851-8dd8-41b3-bbd3-189aab95efdc,2048
mha_h48_d128,b7de8c27-ea98-4a6b-94f5-9497eb02a6a4,4096
mha_h48_d128_causal,b9198e56-83d3-48d1-83b1-a6c49d87c036,128
mha_h48_d128_causal,d880f83d-d360-4776-98aa-95281607b41f,256
mha_h48_d128_causal,fcaeeeec-ece0-4956-a25c-d82d9cc0e41c,512
mha_h48_d128_causal,8f2818f3-5eb0-492c-9801-99496e60d904,1024
mha_h48_d128_causal,8bd35f03-98c7-4bb2-982b-c1de2f229c90,2048
mha_h48_d128_causal,3fc22be4-1df0-4a77-8780-551716ad15e8,4096
