definition,file,tensor,dtype,shape,numel,finite_count,nan_count,posinf_count,neginf_count,zero_count,min,max,mean,std,absmax,absmax_count,q001,q01,q50,q99,q999
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_06104d93c0714801ac1608334237edb3.safetensors,O,float8_e4m3fn,"[4, 48, 1024, 64]",12582912,12582912,0,0,0,10826,-384.0,288.0,0.011521093236903349,2.8793628029535125,384.0,1,-3.25,-2.25,0.00390625,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_06104d93c0714801ac1608334237edb3.safetensors,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,7.773462295532227,10285.71484375,60.64802439318737,212.9068404561117,10285.71484375,1,12.207355499267578,16.120197296142578,37.0784912109375,735.2111206054688,3305.739990234375
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_16e200af99944284acb125d7fbce313a.safetensors,O,float8_e4m3fn,"[4, 48, 2048, 64]",25165824,25165824,0,0,0,21747,-256.0,320.0,0.011528777113805214,3.1697049636548678,320.0,1,-3.5,-2.25,0.001953125,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_16e200af99944284acb125d7fbce313a.safetensors,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,12.412016868591309,10010.205078125,85.04345445130214,284.9493408636935,10010.205078125,1,19.1959285736084,23.452890396118164,45.572418212890625,1374.539794921875,4003.64794921875
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_207b2227b9f74c1cb6983ab398ef5afc.safetensors,O,float8_e4m3fn,"[4, 48, 1024, 64]",12582912,12582912,0,0,0,10826,-384.0,288.0,0.011521093236903349,2.8793628029535125,384.0,1,-3.25,-2.25,0.00390625,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_207b2227b9f74c1cb6983ab398ef5afc.safetensors,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,7.773462295532227,10285.71484375,60.64802439318737,212.9068404561117,10285.71484375,1,12.207355499267578,16.120197296142578,37.0784912109375,735.2111206054688,3305.739990234375
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_4da773ab689a4146b11dc4c2680b3301.safetensors,O,float8_e4m3fn,"[4, 48, 16384, 64]",201326592,201326592,0,0,0,181859,-352.0,288.0,0.004976438668866952,3.1442170968086867,352.0,308,-3.25,-2.25,-0.00390625,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_4da773ab689a4146b11dc4c2680b3301.safetensors,LSE,float32,"[4, 48, 16384]",3145728,3145728,0,0,0,0,29.064775466918945,17242.5,175.77667123345054,558.2418551118433,17242.5,1,38.3086051940918,43.63714599609375,68.0141372680664,3135.91845703125,6269.3876953125
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_54e70c57db164b6e9ede6ce0c26c64f9.safetensors,O,float8_e4m3fn,"[4, 48, 2048, 64]",25165824,25165824,0,0,0,21747,-256.0,320.0,0.011528777113805214,3.1697049636548678,320.0,1,-3.5,-2.25,0.001953125,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_54e70c57db164b6e9ede6ce0c26c64f9.safetensors,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,12.412016868591309,10010.205078125,85.04345445130214,284.9493408636935,10010.205078125,1,19.1959285736084,23.452890396118164,45.572418212890625,1374.539794921875,4003.64794921875
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_6aa03733841d439ba1dbe781e62cf80e.safetensors,O,float8_e4m3fn,"[4, 48, 512, 64]",6291456,6291456,0,0,0,5192,-256.0,288.0,-0.024907445224622887,3.2652890220173236,288.0,8,-3.5,-2.25,0.001953125,2.25,3.25
fp8_mha_with_lse_d64,/home/ubuntu/accrl-training/blob/workloads/attention/fp8_mha_with_lse_d64/fp8_mha_with_lse_d64_6aa03733841d439ba1dbe781e62cf80e.safetensors,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,6.614200115203857,8659.34375,43.987724069937634,151.94607327198156,8659.34375,1,7.3526411056518555,10.048707962036133,29.73164939880371,235.41036987304688,2479.5625
