definition,causal,S,D,tensor,dtype,shape,numel,finite_count,nan_count,posinf_count,neginf_count,zero_count,min,max,mean,std,absmax,absmax_count,q001,q01,q50,q99,q999,descale_q,descale_k,descale_v
normal_fp8_mha_with_lse_d64,False,512,64,O,float8_e4m3fn,"[4, 48, 512, 64]",6291456,6291456,0,0,0,68994,-1.125,0.75,-0.0002557411789894104,0.07264010608196259,1.125,1,-0.234375,-0.171875,0.0,0.171875,0.234375,0.012834821827709675,0.011439732275903225,0.011369978077709675
normal_fp8_mha_with_lse_d64,False,512,64,LSE,float32,"[4, 48, 512]",98304,98304,0,0,0,0,6.410747051239014,7.376143932342529,6.735433578491211,0.10559879243373871,7.376143932342529,1,6.469597816467285,6.52258825302124,6.728090286254883,7.015512943267822,7.132571220397949,0.012834821827709675,0.011439732275903225,0.011369978077709675
normal_fp8_mha_with_lse_d64,False,1024,64,O,float8_e4m3fn,"[4, 48, 1024, 64]",12582912,12582912,0,0,0,193693,-0.5,0.6875,-8.124858140945435e-05,0.051649097353219986,0.6875,1,-0.171875,-0.125,0.0,0.125,0.171875,0.01164899580180645,0.012904576025903225,0.011718750931322575
normal_fp8_mha_with_lse_d64,False,1024,64,LSE,float32,"[4, 48, 1024]",196608,196608,0,0,0,0,7.110790729522705,7.990105628967285,7.429603099822998,0.09720926731824875,7.990105628967285,1,7.183790683746338,7.231855869293213,7.423299789428711,7.6857218742370605,7.789327144622803,0.01164899580180645,0.012904576025903225,0.011718750931322575
normal_fp8_mha_with_lse_d64,False,2048,64,O,float8_e4m3fn,"[4, 48, 2048, 64]",25165824,25165824,0,0,0,543301,-0.40625,0.375,4.565747076412663e-05,0.03654208779335022,0.40625,1,-0.1171875,-0.0859375,-0.0,0.0859375,0.1171875,0.012695313431322575,0.012904576025903225,0.01248604990541935
normal_fp8_mha_with_lse_d64,False,2048,64,LSE,float32,"[4, 48, 2048]",393216,393216,0,0,0,0,7.792874813079834,8.7055025100708,8.123738288879395,0.09317263960838318,8.7055025100708,1,7.884237289428711,7.933232307434082,8.117868423461914,8.367793083190918,8.469018936157227,0.012695313431322575,0.012904576025903225,0.01248604990541935
normal_fp8_mha_with_lse_d64,False,4096,64,O,float8_e4m3fn,"[4, 48, 4096, 64]",50331648,50331648,0,0,0,1534275,-0.28125,0.28125,0.00012958128354512155,0.025936299934983253,0.28125,3,-0.0859375,-0.0625,0.0,0.0625,0.0859375,0.013323103077709675,0.012904576025903225,0.013323103077709675
normal_fp8_mha_with_lse_d64,False,4096,64,LSE,float32,"[4, 48, 4096]",786432,786432,0,0,0,0,8.495118141174316,9.383613586425781,8.817804336547852,0.09099262207746506,9.383613586425781,1,8.581945419311523,8.631148338317871,8.812151908874512,9.054408073425293,9.148157119750977,0.013323103077709675,0.012904576025903225,0.013323103077709675
normal_fp8_mha_with_lse_d64,False,8192,64,O,float8_e4m3fn,"[4, 48, 8192, 64]",100663296,100663296,0,0,0,4326753,-0.25,0.203125,-4.9047579523175955e-05,0.018346291035413742,0.25,1,-0.05859375,-0.04296875,0.0,0.04296875,0.05859375,0.012695313431322575,0.012416294775903225,0.01262555830180645
normal_fp8_mha_with_lse_d64,False,8192,64,LSE,float32,"[4, 48, 8192]",1572864,1572864,0,0,0,0,9.17757797241211,10.03969955444336,9.50976848602295,0.08952395617961884,10.03969955444336,1,9.279362678527832,9.325154304504395,9.504450798034668,9.742213249206543,9.835171699523926,0.012695313431322575,0.012416294775903225,0.01262555830180645
