definition,definition_label,turn,group,group_label,rows,mean_reasoning_tokens
mha_bwd_d128,MHA bwd d128,0,linfo-singleuser,Linfo single-user,8,20861.750000
mha_bwd_d128,MHA bwd d128,0,regular-patched,Regular patched,8,28010.125000
mha_bwd_d128,MHA bwd d128,1,linfo-singleuser,Linfo single-user,8,28169.000000
mha_bwd_d128,MHA bwd d128,1,regular-patched,Regular patched,8,21136.000000
mha_bwd_d128,MHA bwd d128,2,linfo-singleuser,Linfo single-user,8,23868.750000
mha_bwd_d128,MHA bwd d128,2,regular-patched,Regular patched,8,28789.750000
mha_bwd_d128,MHA bwd d128,3,linfo-singleuser,Linfo single-user,8,27262.625000
mha_bwd_d128,MHA bwd d128,3,regular-patched,Regular patched,8,23391.875000
mha_bwd_d128,MHA bwd d128,4,linfo-singleuser,Linfo single-user,8,16826.750000
mha_bwd_d128,MHA bwd d128,4,regular-patched,Regular patched,8,27819.125000
mha_bwd_d128,MHA bwd d128,5,linfo-singleuser,Linfo single-user,8,18931.375000
mha_bwd_d128,MHA bwd d128,5,regular-patched,Regular patched,8,15282.125000
mha_bwd_d128,MHA bwd d128,6,linfo-singleuser,Linfo single-user,8,26822.000000
mha_bwd_d128,MHA bwd d128,6,regular-patched,Regular patched,8,18771.875000
mha_bwd_d128,MHA bwd d128,7,linfo-singleuser,Linfo single-user,8,14962.500000
mha_bwd_d128,MHA bwd d128,7,regular-patched,Regular patched,8,14352.000000
mha_bwd_d128_causal,MHA bwd d128 causal,0,linfo-singleuser,Linfo single-user,8,17390.750000
mha_bwd_d128_causal,MHA bwd d128 causal,0,regular-patched,Regular patched,8,24739.750000
mha_bwd_d128_causal,MHA bwd d128 causal,1,linfo-singleuser,Linfo single-user,8,36787.375000
mha_bwd_d128_causal,MHA bwd d128 causal,1,regular-patched,Regular patched,8,18887.875000
mha_bwd_d128_causal,MHA bwd d128 causal,2,linfo-singleuser,Linfo single-user,8,31877.625000
mha_bwd_d128_causal,MHA bwd d128 causal,2,regular-patched,Regular patched,8,19553.000000
mha_bwd_d128_causal,MHA bwd d128 causal,3,linfo-singleuser,Linfo single-user,8,11661.000000
mha_bwd_d128_causal,MHA bwd d128 causal,3,regular-patched,Regular patched,8,22693.625000
mha_bwd_d128_causal,MHA bwd d128 causal,4,linfo-singleuser,Linfo single-user,8,28006.375000
mha_bwd_d128_causal,MHA bwd d128 causal,4,regular-patched,Regular patched,8,18953.125000
mha_bwd_d128_causal,MHA bwd d128 causal,5,linfo-singleuser,Linfo single-user,8,24946.125000
mha_bwd_d128_causal,MHA bwd d128 causal,5,regular-patched,Regular patched,8,20994.250000
mha_bwd_d128_causal,MHA bwd d128 causal,6,linfo-singleuser,Linfo single-user,8,23574.750000
mha_bwd_d128_causal,MHA bwd d128 causal,6,regular-patched,Regular patched,8,18802.375000
mha_bwd_d128_causal,MHA bwd d128 causal,7,linfo-singleuser,Linfo single-user,8,22836.625000
