trajectory_id,definition,prompt_tag,glm_best_correct_speedup,gemini_best_correct_speedup,glm_best_instruction_correct_speedup,gemini_best_instruction_correct_speedup,glm_first_correct_turn,gemini_first_correct_turn,glm_first_instruction_correct_turn,gemini_first_instruction_correct_turn,glm_minus_gemini_best_speedup,glm_minus_gemini_best_instruction_speedup,outcome,instruction_outcome
exp_000,mha_bwd_d128,hopper-no-hint,,0.09667030980293834,,0.09667030980293834,,4,,4,,,gemini_only,gemini_instruction_only
exp_001,mha_bwd_d128,hopper-no-hint,,0.34928636814720265,,0.34928636814720265,,3,,3,,,gemini_only,gemini_instruction_only
exp_002,mha_bwd_d128,hopper-no-hint,,0.37300367351292496,,0.37300367351292496,,2,,2,,,gemini_only,gemini_instruction_only
exp_003,mha_bwd_d128,hopper-no-hint,,,,,,,,,,,neither,neither_instruction_fixed
exp_004,mha_bwd_d128,hopper-no-hint,,0.31727475442324554,,0.31727475442324554,,2,,2,,,gemini_only,gemini_instruction_only
exp_005,mha_bwd_d128,hopper-no-hint,,,,,,,,,,,neither,neither_instruction_fixed
exp_006,mha_bwd_d128,hopper-no-hint,,0.1088937022972922,,0.1088937022972922,,4,,4,,,gemini_only,gemini_instruction_only
exp_007,mha_bwd_d128,hopper-no-hint,,0.21441752313782178,,0.21441752313782178,,1,,1,,,gemini_only,gemini_instruction_only
exp_008,mha_bwd_d128,hopper-no-hint,,,,,,,,,,,neither,neither_instruction_fixed
exp_009,mha_bwd_d128,hopper-no-hint,,0.05481790546518846,,0.05481790546518846,,4,,4,,,gemini_only,gemini_instruction_only
exp_010,mha_bwd_d128,hopper-no-hint,,,,,,,,,,,neither,neither_instruction_fixed
exp_011,mha_bwd_d128,hopper-no-hint,,0.21859386814325096,,0.21859386814325096,,2,,2,,,gemini_only,gemini_instruction_only
exp_012,mha_bwd_d128,hopper-no-hint,,,,,,,,,,,neither,neither_instruction_fixed
exp_013,mha_bwd_d128,hopper-no-hint,,0.18526923042135726,,0.18526923042135726,,3,,3,,,gemini_only,gemini_instruction_only
