series,distance,pdf,bandwidth
Adjacent turn edits in 2026-0420-2305,0,1.85445612,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.00164968115,1.89035471,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0032993623,1.92585142,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.00494904345,1.96091177,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.00659872461,1.9955024,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.00824840576,2.02959112,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.00989808691,2.06314707,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0115477681,2.09614074,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0131974492,2.12854408,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0148471304,2.16033054,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0164968115,2.19147517,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0181464927,2.22195468,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0197961738,2.25174742,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.021445855,2.28083351,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0230955361,2.30919484,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0247452173,2.33681507,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0263948984,2.3636797,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0280445796,2.38977604,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0296942607,2.41509323,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0313439419,2.43962224,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.032993623,2.46335587,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0346433042,2.4862887,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0362929853,2.50841708,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0379426665,2.5297391,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0395923476,2.55025456,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0412420288,2.56996488,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0428917099,2.58887311,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0445413911,2.60698381,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0461910722,2.62430303,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0478407534,2.64083822,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0494904345,2.65659815,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0511401157,2.67159283,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0527897968,2.68583346,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.054439478,2.69933229,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0560891591,2.71210257,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0577388403,2.72415846,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0593885215,2.73551489,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0610382026,2.74618753,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0626878838,2.75619264,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0643375649,2.76554699,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0659872461,2.7742678,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0676369272,2.78237257,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0692866084,2.78987907,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0709362895,2.79680518,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0725859707,2.80316883,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0742356518,2.80898794,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.075885333,2.81428027,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0775350141,2.81906339,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0791846953,2.82335461,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0808343764,2.82717087,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0824840576,2.83052871,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0841337387,2.83344418,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0857834199,2.83593282,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.087433101,2.83800957,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0890827822,2.83968876,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0907324633,2.84098404,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0923821445,2.8419084,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0940318256,2.84247408,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0956815068,2.84269261,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0973311879,2.84257477,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.0989808691,2.84213058,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.10063055,2.84136931,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.102280231,2.84029949,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.103929913,2.83892894,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.105579594,2.83726474,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.107229275,2.83531331,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.108878956,2.83308039,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.110528637,2.83057112,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.112178318,2.82779006,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.113827999,2.82474123,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.115477681,2.82142815,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.117127362,2.81785392,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.118777043,2.81402125,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.120426724,2.80993252,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.122076405,2.80558983,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.123726086,2.80099508,0.0542234109
Adjacent turn edits in 2026-0420-2305,0.125375768,2.79615003,0.0542234109
