run,kind,metric,n,mean,p10,p25,median,p75,p90,max
2026-0420-2305,pattern_analysis,within_matrix_offdiag,1770,0.5805235199514502,0.38293102681636815,0.5,0.609375,0.6933333277702332,0.752451515197754,0.9411764740943909
2026-0420-2305,pattern_analysis,turn_to_turn,56,0.18035892857142857,0.019799999999999998,0.069975,0.15189999999999998,0.25177499999999997,0.34585,0.6196
2026-0422-1002,pattern_analysis,within_matrix_offdiag,17766,0.6497318719581443,0.4761904776096344,0.5789473652839661,0.6707317233085632,0.7424242496490479,0.800000011920929,1.0594059228897095
2026-0422-1002,pattern_analysis,turn_to_turn,196,0.16209183673469388,0.0,0.0398,0.1385,0.2367,0.35595,0.7849
2026-0422-2352_complete,pattern_analysis,within_matrix_offdiag,10296,0.6934443758183724,0.5070422291755676,0.6122449040412903,0.7068965435028076,0.800000011920929,0.8709677457809448,1.1967213153839111
2026-0422-2352_complete,pattern_analysis,turn_to_turn,172,0.15473372093023255,0.0,0.016275,0.0819,0.208375,0.3939200000000001,1.0303
2026-0424-1020,pattern_analysis,within_matrix_offdiag,1275,0.8021641853963043,0.6011764764785766,0.7613871693611145,0.8269230723381042,0.8933333158493042,0.9722222089767456,1.1875
2026-0424-1020,pattern_analysis,turn_to_turn,65,0.2085,0.0,0.0,0.0588,0.3103,0.7472400000000001,1.0667
2026-0424-1603,pattern_analysis,within_matrix_offdiag,300,0.5064883441229662,0.11756272315979005,0.3956044018268585,0.5963302850723267,0.6705238521099091,0.708737850189209,0.7833333611488342
2026-0424-1603,pattern_analysis,turn_to_turn,28,0.07237142857142857,0.0,0.01425,0.0507,0.09525,0.18767000000000003,0.2833
2026-0424-1728,pattern_analysis,within_matrix_offdiag,378,0.6445498191234138,0.2985909074544907,0.6134259253740311,0.7142857313156128,0.7713818997144699,0.8058687031269074,0.9431818127632141
2026-0424-1728,pattern_analysis,turn_to_turn,28,0.22898214285714286,0.0,0.10175000000000001,0.16885,0.39947499999999997,0.46578,0.6209
2026-0424-2032,pattern_analysis,within_matrix_offdiag,10011,0.6556343999708518,0.521276593208313,0.5952380895614624,0.6699029207229614,0.7384770512580872,0.8017241358757019,1.0463576316833496
2026-0424-2032,pattern_analysis,turn_to_turn,167,0.09590359281437125,0.0,0.0109,0.064,0.1371,0.24374000000000004,0.62
2026-0426-1646,pattern_analysis,within_matrix_offdiag,4851,0.6655010328338417,0.5423728823661804,0.6209677457809448,0.6861313581466675,0.747826099395752,0.8113207817077637,0.9904761910438538
2026-0426-1646,pattern_analysis,turn_to_turn,112,0.10297857142857143,0.0,0.017849999999999998,0.0665,0.137425,0.24767000000000014,0.8966
