group,run_dir,trajectory_id,trajectory_path,definition,prompt_tag,replica,n_turns,correct_turns,ever_correct,first_correct_turn,correct_then_regressed,outcome_sequence,system_chars,system_sha256,initial_user_sha256,model_name,sampling_signature,api_base,feedback_chars_mean,code_chars_initial,code_chars_mean,reasoning_chars_initial,reasoning_chars_mean,edit_similarity_mean,major_rewrites,tma_turns,wgmma_turns,mbarrier_turns,setmaxnreg_turns,extended_launch_turns,cluster_turns,feedback_precise_fault,feedback_primary_diagnostics,feedback_source_locations,feedback_core_dump
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_012,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_012.json,mha_bwd_d128,hopper-012,0,8,1,True,5,True,compile -> numeric -> runtime -> runtime -> numeric -> OK -> numeric -> numeric,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2571.5,23323,24497.375,29581,46982.125,0.7146073584776473,1,8,8,8,2,0,8,2,2,2,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_013,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_013.json,mha_bwd_d128,hopper-012,1,8,3,True,5,False,runtime -> compile -> runtime -> compile -> numeric -> OK -> OK -> OK,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,1654.375,21964,21764.125,75319,78064.75,0.7369137016272438,0,8,8,8,0,0,8,2,2,2,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_014,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_014.json,mha_bwd_d128,hopper-012,2,8,0,False,,False,runtime -> runtime -> compile -> runtime -> runtime -> runtime -> runtime -> runtime,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2575.25,22642,22164.125,66876,59169.125,0.7749148160077899,0,6,8,6,0,0,6,7,7,7,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_015,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_015.json,mha_bwd_d128,hopper-012,3,8,0,False,,False,compile -> runtime -> compile -> runtime -> runtime -> runtime -> runtime -> runtime,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2295.75,21103,23321.625,78533,51886.875,0.8093747691179519,0,8,8,8,0,0,8,6,6,6,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_016,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_016.json,mha_bwd_d128,hopper-013,0,8,0,False,,False,compile -> extract -> compile -> runtime -> compile -> runtime -> compile -> runtime,92909,9118cbdc2f1a2f837c47b9eb5f1f5700a21bbbfe9da373ed479ccf0ad293138c,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2331.75,29202,23395.75,131826,83888.75,0.4550247527385313,4,7,7,7,6,7,7,3,3,3,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_017,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_017.json,mha_bwd_d128,hopper-013,1,8,0,False,,False,compile -> runtime -> runtime -> runtime -> runtime -> runtime -> runtime -> runtime,92909,9118cbdc2f1a2f837c47b9eb5f1f5700a21bbbfe9da373ed479ccf0ad293138c,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2823.25,23973,24984.75,136019,104327.25,0.6641708792412423,3,7,8,8,0,0,8,7,7,7,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_018,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_018.json,mha_bwd_d128,hopper-013,2,8,0,False,,False,runtime -> runtime -> timeout -> runtime -> runtime -> compile -> runtime -> runtime,92909,9118cbdc2f1a2f837c47b9eb5f1f5700a21bbbfe9da373ed479ccf0ad293138c,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,3864.375,22026,26581.125,63072,71935.5,0.6643610349137321,3,7,8,7,2,0,7,6,7,7,1
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128,exp_019,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128/trajectories/exp_019.json,mha_bwd_d128,hopper-013,3,8,0,False,,False,compile -> compile -> runtime -> runtime -> runtime -> runtime -> runtime -> runtime,92909,9118cbdc2f1a2f837c47b9eb5f1f5700a21bbbfe9da373ed479ccf0ad293138c,0f3073f02da350ae0f578d22042cd450349bb4ddde295ce5cf82311ccbc0cd26,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,4359.125,59005,28298,11301,84933.125,0.40739662749695166,6,7,8,8,5,4,8,6,6,6,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128-causal,exp_012,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128-causal/trajectories/exp_012.json,mha_bwd_d128_causal,hopper-012,0,8,0,False,,False,compile -> compile -> compile -> compile -> runtime -> runtime -> compile -> compile,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,33a26411f3b1a412b49ddad726c0f53851322c382ec76d1eaac4e1a97b858f82,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,3124.625,24318,24221.375,136102,85382.375,0.6513715893095877,2,8,8,8,0,0,8,2,2,2,0
regular,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128-causal,exp_013,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-nopatched-mha-bwd-d128-causal/trajectories/exp_013.json,mha_bwd_d128_causal,hopper-012,1,8,0,False,,False,runtime -> compile -> compile -> runtime -> runtime -> runtime -> runtime -> runtime,86901,7b548a397a40eca77bd3d52e4ff8b97c3d14cf4f769a499dba00b4cf2a9a5c02,33a26411f3b1a412b49ddad726c0f53851322c382ec76d1eaac4e1a97b858f82,openai/qwen36-27b-SFT-2026-0624-0939,"{""drop_params"": true, ""extra_body"": {""min_p"": 0.0, ""repetition_penalty"": 1.0, ""top_k"": 20}, ""max_tokens"": 81920, ""presence_penalty"": 1.5, ""temperature"": 1.0, ""timeout"": 3600.0, ""top_p"": 0.95}",http://localhost:30022/v1,2642.5,23848,24153.875,116322,85465.5,0.8075460500094364,0,8,8,8,0,8,8,6,6,6,0
