scope,arch,definition,workload,group,model,exp_dir,turn,correctness,count,total,fraction
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Runtime error,260,560,0.464286
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Numerical error,127,560,0.226786
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Compilation error,109,560,0.194643
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Kernel Execution Timeout,43,560,0.076786
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Correct,19,560,0.033929
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Extraction error,1,560,0.001786
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,,Other error,1,560,0.001786
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Runtime error,90,160,0.562500
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Correct,26,160,0.162500
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Compilation error,24,160,0.150000
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Kernel Execution Timeout,7,160,0.043750
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Numerical error,7,160,0.043750
definition,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-gemm,,Extraction error,6,160,0.037500
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Compilation error,79,160,0.493750
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Runtime error,41,160,0.256250
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Kernel Execution Timeout,20,160,0.125000
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Numerical error,12,160,0.075000
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Extraction error,5,160,0.031250
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128,,Other error,3,160,0.018750
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Compilation error,50,160,0.312500
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Runtime error,39,160,0.243750
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Numerical error,35,160,0.218750
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Kernel Execution Timeout,24,160,0.150000
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Extraction error,8,160,0.050000
definition,hopper,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128,,Correct,4,160,0.025000
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Compilation error,98,160,0.612500
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Runtime error,21,160,0.131250
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Kernel Execution Timeout,16,160,0.100000
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Numerical error,14,160,0.087500
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Extraction error,7,160,0.043750
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Other error,3,160,0.018750
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,left,Qwen3.6-27B,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal,,Sanitize Timeout,1,160,0.006250
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128-causal,,Runtime error,58,160,0.362500
definition,hopper,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,right,Qwen3.6-27B-fixit-v2-glm,/home/ubuntu/AccRL-exps/eval_runs/2026-0624-0939-mha-bwd-d128-causal,,Compilation error,49,160,0.306250
