group,model,arch,definition,workload,exp_dir,trajectory_id,turn,correctness,speedup,arch_tag
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,0,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,1,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,2,Compilation error,,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,3,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,4,Compilation error,,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,5,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,6,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,7,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,8,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,9,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,10,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,11,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,12,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,13,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,14,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,15,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,16,Compilation error,,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,17,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,18,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,19,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,0,Compilation error,,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,1,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,2,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,3,Numerical error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,4,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,5,Kernel Execution Timeout,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,6,Kernel Execution Timeout,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,7,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,8,Runtime error,0.0,
left,Qwen3.6-27B,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_001,9,Runtime error,0.0,
