exp_index,definition,final_label,descriptor_lbo_sbo_swizzle_uncertainty,tma_dimension_coordinate_uncertainty,mbarrier_parity_tx_uncertainty,wgmma_fragment_mapping_uncertainty,softmax_lse_causal_uncertainty,compile_typo_tunnel_vision,overconfident_after_local_patch,explicit_guessing,resource_timeout_reasoning
0,mha_with_lse_d128,timeout,277,306,182,154,199,6,90,161,119
1,mha_with_lse_d128,runtime_error,323,335,76,127,46,3,126,203,33
2,mha_with_lse_d128,numerical_error,444,256,144,156,151,6,101,177,72
3,mha_with_lse_d128,compile_error,383,234,140,132,100,7,103,200,68
4,mha_with_lse_d128,timeout,315,142,108,134,151,9,74,143,31
5,mha_with_lse_d128,numerical_error,207,357,226,172,204,4,169,191,46
6,mha_with_lse_d128,numerical_error,390,195,97,89,106,3,124,214,83
7,mha_with_lse_d128,compile_error,487,209,100,155,38,4,56,176,51
8,mha_with_lse_d128,timeout,280,153,67,113,54,2,33,75,58
9,mha_with_lse_d128,timeout,222,128,203,127,96,7,88,129,44
10,mha_with_lse_d128,numerical_error,688,159,90,210,73,3,125,220,50
11,mha_with_lse_d128,numerical_error,308,429,119,117,56,2,110,182,54
12,mha_with_lse_d128,runtime_error,276,170,87,203,54,3,94,165,57
13,mha_with_lse_d128,timeout,187,171,89,248,157,1,113,198,89
14,mha_with_lse_d128,timeout,256,287,87,229,137,4,113,164,44
15,mha_with_lse_d128,timeout,287,174,298,173,47,2,93,200,40
16,mha_with_lse_d128,compile_error,263,119,104,149,61,9,42,134,58
17,mha_with_lse_d128,timeout,339,67,147,64,70,3,63,131,34
18,mha_with_lse_d128,numerical_error,460,122,92,186,87,3,94,172,75
19,mha_with_lse_d128,numerical_error,256,97,240,68,66,1,31,73,51
20,mha_with_lse_d128,runtime_error,356,141,88,153,120,15,61,128,61
21,mha_with_lse_d128,timeout,251,213,293,192,80,2,85,228,29
22,mha_with_lse_d128,numerical_error,624,371,276,158,78,2,175,228,25
23,mha_with_lse_d128,numerical_error,220,74,164,177,62,3,104,153,45
24,mha_with_lse_d128,runtime_error,393,172,151,185,46,1,60,229,77
25,mha_with_lse_d128,compile_error,341,134,78,299,123,2,131,174,37
26,mha_with_lse_d128,numerical_error,828,106,89,139,96,3,43,175,58
27,mha_with_lse_d128,compile_error,329,76,62,242,78,9,41,112,30
28,mha_with_lse_d128,compile_error,525,222,87,166,92,5,82,118,54
29,mha_with_lse_d128,runtime_error,128,41,284,7,32,1,78,182,46
30,mha_with_lse_d128,timeout,397,236,208,161,139,8,141,193,50
31,mha_with_lse_d128,timeout,263,241,326,149,134,5,123,181,45
32,mha_with_lse_d128,runtime_error,250,139,253,195,126,6,94,179,44
33,mha_with_lse_d128,runtime_error,268,250,73,239,312,1,127,183,50
34,mha_with_lse_d128,compile_error,295,121,102,146,153,6,51,110,32
35,mha_with_lse_d128,compile_error,150,104,135,155,139,6,112,160,47
36,mha_with_lse_d128,compile_error,392,134,180,109,150,7,83,174,46
37,mha_with_lse_d128,runtime_error,389,259,175,145,61,3,67,208,45
38,mha_with_lse_d128,compile_error,350,227,232,156,38,8,106,185,30
39,mha_with_lse_d128,timeout,430,116,479,185,142,3,139,181,45
40,mha_with_lse_d128,numerical_error,350,155,275,166,214,2,126,182,71
41,mha_with_lse_d128,compile_error,287,175,155,58,64,11,61,163,67
42,mha_with_lse_d128,numerical_error,251,324,58,155,43,2,108,179,60
43,mha_with_lse_d128,timeout,204,76,324,87,42,7,84,181,70
44,mha_with_lse_d128,runtime_error,80,72,129,69,77,4,116,198,30
45,mha_bwd_d128,timeout,55,92,172,13,130,5,62,118,35
46,mha_bwd_d128,runtime_error,258,110,67,137,90,4,47,111,46
47,mha_bwd_d128,timeout,78,49,35,20,98,5,13,66,77
48,mha_bwd_d128,timeout,149,126,126,163,14,9,65,154,87
49,mha_bwd_d128,compile_error,241,124,151,175,4,4,83,194,53
50,mha_bwd_d128,timeout,143,181,91,37,4,5,55,151,61
51,mha_bwd_d128,compile_error,312,123,47,77,9,3,64,147,60
52,mha_bwd_d128,runtime_error,162,43,86,71,43,7,68,191,39
53,mha_bwd_d128,compile_error,614,97,129,167,29,4,35,117,62
54,mha_bwd_d128,compile_error,229,87,96,244,16,7,76,183,43
55,mha_bwd_d128,numerical_error,443,301,62,76,1,4,62,147,64
56,mha_bwd_d128,numerical_error,332,268,69,254,14,4,231,212,49
57,mha_bwd_d128,timeout,506,74,68,182,23,6,49,206,120
58,mha_bwd_d128,timeout,73,30,60,44,6,5,36,66,32
59,mha_bwd_d128,timeout,0,4,321,18,30,2,36,72,48
60,mha_bwd_d128,runtime_error,0,1,280,16,48,3,79,114,53
61,mha_bwd_d128,compile_error,350,131,97,200,55,2,65,172,63
62,mha_bwd_d128,timeout,459,119,102,30,4,1,63,147,39
63,mha_bwd_d128,runtime_error,60,29,62,111,5,4,44,53,111
64,mha_bwd_d128,compile_error,70,28,97,108,7,5,0,24,29
65,mha_bwd_d128,numerical_error,371,104,51,235,5,2,25,79,68
66,mha_bwd_d128,compile_error,116,38,208,47,23,2,58,126,62
67,mha_bwd_d128,runtime_error,173,68,41,107,3,6,43,105,66
68,mha_bwd_d128,timeout,176,83,91,165,4,5,70,155,89
69,mha_bwd_d128,compile_error,319,169,107,209,4,7,39,109,53
70,mha_bwd_d128,timeout,178,74,143,151,67,4,59,138,57
