exp_index,definition,final_label,qwen_vs_gemini_line_ratio,equal_lines,replace_lines,insert_lines,delete_lines
0,mha_with_lse_d128,timeout,0.2275,90,301,7,126
1,mha_with_lse_d128,runtime_error,0.4127,164,343,28,29
2,mha_with_lse_d128,numerical_error,0.4873,187,261,7,25
3,mha_with_lse_d128,compile_error,0.4054,147,283,45,7
4,mha_with_lse_d128,timeout,0.4346,162,291,11,1
5,mha_with_lse_d128,numerical_error,0.5417,223,204,16,61
6,mha_with_lse_d128,numerical_error,0.1776,63,460,4,3
7,mha_with_lse_d128,compile_error,0.4516,175,230,17,64
8,mha_with_lse_d128,timeout,0.3171,117,279,2,54
9,mha_with_lse_d128,timeout,0.4987,194,184,103,27
10,mha_with_lse_d128,numerical_error,0.4721,182,264,8,33
11,mha_with_lse_d128,numerical_error,0.4584,184,309,6,11
12,mha_with_lse_d128,runtime_error,0.4518,194,323,11,13
13,mha_with_lse_d128,timeout,0.5205,211,230,11,14
14,mha_with_lse_d128,timeout,0.498,194,270,5,29
15,mha_with_lse_d128,timeout,0.7464,284,117,0,3
16,mha_with_lse_d128,compile_error,0.2273,85,318,0,160
17,mha_with_lse_d128,timeout,0.1471,70,400,13,14
18,mha_with_lse_d128,numerical_error,0.4363,181,326,4,3
19,mha_with_lse_d128,numerical_error,0.4838,210,370,7,11
20,mha_with_lse_d128,runtime_error,0.483,213,277,29,9
21,mha_with_lse_d128,timeout,0.5383,230,257,21,28
22,mha_with_lse_d128,numerical_error,0.5409,230,262,12,27
23,mha_with_lse_d128,numerical_error,0.4952,207,237,13,61
24,mha_with_lse_d128,runtime_error,0.4525,173,266,15,52
25,mha_with_lse_d128,compile_error,0.1117,44,443,218,1
26,mha_with_lse_d128,numerical_error,0.6378,302,264,11,18
27,mha_with_lse_d128,compile_error,0.5924,307,231,29,10
28,mha_with_lse_d128,compile_error,0.4985,261,351,13,3
29,mha_with_lse_d128,runtime_error,0.4091,192,412,3,7
30,mha_with_lse_d128,timeout,0.6277,271,168,19,11
31,mha_with_lse_d128,timeout,0.5658,246,234,6,9
32,mha_with_lse_d128,runtime_error,0.5017,228,288,38,1
33,mha_with_lse_d128,runtime_error,0.4708,168,211,6,37
34,mha_with_lse_d128,compile_error,0.1642,66,540,14,2
35,mha_with_lse_d128,compile_error,0.3858,142,316,11,16
36,mha_with_lse_d128,compile_error,0.3329,126,399,4,7
37,mha_with_lse_d128,runtime_error,0.3915,137,328,16,15
38,mha_with_lse_d128,compile_error,0.3906,150,221,10,107
39,mha_with_lse_d128,timeout,0.5687,211,224,4,6
40,mha_with_lse_d128,numerical_error,0.4494,189,244,22,24
41,mha_with_lse_d128,compile_error,0.1645,66,477,0,4
42,mha_with_lse_d128,numerical_error,0.3123,121,306,1,79
43,mha_with_lse_d128,timeout,0.2292,89,456,0,1
44,mha_with_lse_d128,runtime_error,0.4428,176,306,0,59
45,mha_bwd_d128,timeout,0.2234,105,532,1,2
46,mha_bwd_d128,runtime_error,0.2778,160,675,36,8
47,mha_bwd_d128,timeout,0.2125,112,496,268,1
48,mha_bwd_d128,timeout,0.2619,136,464,35,94
49,mha_bwd_d128,compile_error,0.4824,210,313,9,17
50,mha_bwd_d128,timeout,0.1741,71,480,1,96
51,mha_bwd_d128,compile_error,0.2476,103,428,15,37
52,mha_bwd_d128,runtime_error,0.2328,79,184,25,251
53,mha_bwd_d128,compile_error,0.2812,157,537,13,30
54,mha_bwd_d128,compile_error,0.1347,68,722,0,9
55,mha_bwd_d128,numerical_error,0.5114,198,255,27,47
56,mha_bwd_d128,numerical_error,0.5809,234,143,6,137
57,mha_bwd_d128,timeout,0.2597,127,398,92,13
58,mha_bwd_d128,timeout,0.3351,158,437,7,38
59,mha_bwd_d128,timeout,0.6028,244,171,2,104
60,mha_bwd_d128,runtime_error,0.1791,76,493,0,18
61,mha_bwd_d128,compile_error,0.2104,93,435,29,67
62,mha_bwd_d128,timeout,0.0966,52,694,10,4
63,mha_bwd_d128,runtime_error,0.248,95,260,9,214
64,mha_bwd_d128,compile_error,0.3986,222,367,90,28
65,mha_bwd_d128,numerical_error,0.2811,158,518,26,16
66,mha_bwd_d128,compile_error,0.2847,190,487,8,6
67,mha_bwd_d128,runtime_error,0.1717,68,232,1,362
68,mha_bwd_d128,timeout,0.2537,146,570,12,94
69,mha_bwd_d128,compile_error,0.188,97,361,89,269
