scope,definition,workload,turn,group,model,turn_rows,correct_rows,correct_rate,compile_error_rate,runtime_error_rate,timeout_rate,reasoning_token_rows,mean_prompt_tokens,median_prompt_tokens,mean_completion_tokens,median_completion_tokens,mean_reasoning_tokens,median_reasoning_tokens,mean_reasoning_fraction,median_reasoning_fraction,mean_content_chars,median_content_chars,mean_provider_visible_chars,median_provider_visible_chars,mean_provider_reasoning_chars,median_provider_reasoning_chars,mean_pre_code_chars,median_pre_code_chars,mean_code_chars,median_code_chars,mean_feedback_chars,median_feedback_chars,mean_code_block_count,unclosed_think_turns
definition,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,,baseline,Qwen3.6-27B,560,19,0.033928571428571426,0.19464285714285715,0.4642857142857143,0.07678571428571429,0,70678.30892857142,70773.0,8836.719642857142,6096.5,,,,,10180.425,10413.5,10180.425,10413.5,15299.789285714285,6068.5,154.3625,156.5,10015.642857142857,10239.5,1002.7839285714285,764.5,1.0,0
definition,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,,sft,Qwen3.6-27B-fixit-v2-glm,160,26,0.1625,0.15,0.5625,0.04375,160,40816.4625,40187.5,29101.4625,25311.0,24655.5375,20830.0,0.7906286240068024,0.8318181431959633,11482.7375,11541.5,11482.7375,11541.5,70011.9125,61333.5,1.925,2.0,11471.1875,11529.5,1329.14375,794.0,0.9625,0
definition,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,,baseline,Qwen3.6-27B,160,0,0.0,0.49375,0.25625,0.125,160,69728.2875,65418.5,16914.4375,10329.5,7102.36875,1436.0,0.2554827329236107,0.1416475663457466,28587.5875,21351.5,28587.5875,21351.5,22878.84375,5549.0,226.125,187.0,26650.2125,20824.0,1996.65,1424.5,1.3875,0
definition,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,,sft,Qwen3.6-27B-fixit-v2-glm,160,4,0.025,0.3125,0.24375,0.15,160,63974.625,62720.0,33975.81875,30866.0,23952.3625,21278.5,0.6498430387699872,0.6753847336170273,24849.76875,25146.5,24849.76875,25146.5,67017.23125,60705.5,1.9,2.0,24787.4375,25134.5,2249.26875,1797.5,0.94375,0
definition,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,,baseline,Qwen3.6-27B,160,0,0.0,0.525,0.05625,0.04375,160,67462.6375,61400.5,15153.1,9349.0,5971.325,1190.0,0.2632381385913093,0.14912694934176576,26850.6625,21160.5,26850.6625,21160.5,18751.325,4826.0,218.74375,163.0,24880.71875,20609.5,1989.45,1479.0,1.625,0
definition,mha_bwd_d128_causal,c119b3f0-c051-5e96-9c2a-2268d992fe1a,,sft,Qwen3.6-27B-fixit-v2-glm,160,6,0.0375,0.30625,0.3625,0.075,160,63297.7125,61866.5,34140.65,30843.0,24581.53125,20527.0,0.6673015680001455,0.6787186715967318,24144.825,24447.5,24144.825,24447.5,69738.275,58488.5,1.95,2.0,23992.3375,24435.5,2218.7375,1648.0,0.9625,0
definition,mha_with_lse_d128,bc38b351-d595-451b-9153-8e225702e53b,,baseline,Qwen3.6-27B,160,0,0.0,0.5625,0.19375,0.14375,160,66350.93125,53081.0,14474.9875,9695.0,6076.9375,4263.5,0.3650391918148698,0.42878575854840734,24474.6375,15915.0,24474.6375,15915.0,19755.35625,13014.0,116.5,2.0,21271.90625,15837.5,1112.175,839.0,2.05625,0
definition,mha_with_lse_d128,bc38b351-d595-451b-9153-8e225702e53b,,sft,Qwen3.6-27B-fixit-v2-glm,160,26,0.1625,0.25625,0.23125,0.04375,160,50377.1875,49060.0,29211.85,24378.5,22687.85625,18080.0,0.7132096013887992,0.734956616243323,16422.60625,16719.0,16422.60625,16719.0,64078.0625,53042.0,1.925,2.0,16411.05625,16707.0,1147.61875,790.0,0.9625,0
definition,mha_with_lse_d128_causal,6d2f67a7-225a-4af5-87d3-cbb99b496325,,baseline,Qwen3.6-27B,160,0,0.0,0.61875,0.15,0.09375,160,59913.64375,54785.0,12930.8625,9004.5,5799.275,2833.5,0.3544327359595742,0.326494461061989,21141.61875,15404.0,21141.61875,15404.0,18846.91875,10311.5,153.2875,2.0,18071.55625,14639.0,1272.71875,874.0,1.5,0
definition,mha_with_lse_d128_causal,6d2f67a7-225a-4af5-87d3-cbb99b496325,,sft,Qwen3.6-27B-fixit-v2-glm,160,8,0.05,0.2875,0.1625,0.2125,160,51931.1,51793.0,31067.0,28600.0,24301.11875,22283.0,0.7303535598588003,0.7672245072535253,17239.5875,17355.0,17239.5875,17355.0,68712.875,62145.5,1.9625,2.0,17227.8125,17343.0,1192.26875,751.5,0.98125,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,0,baseline,Qwen3.6-27B,28,0,0.0,0.5,0.35714285714285715,0.03571428571428571,0,26183.0,26174.0,24741.10714285714,19414.0,,,,,13693.857142857143,13881.0,13693.857142857143,13881.0,59745.357142857145,41454.0,190.53571428571428,133.5,13484.57142857143,13493.5,1762.357142857143,1258.5,1.0357142857142858,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,1,baseline,Qwen3.6-27B,28,0,0.0,0.32142857142857145,0.6071428571428571,0.03571428571428571,0,32071.821428571428,32026.0,14957.535714285714,11314.5,,,,,12164.5,13034.0,12164.5,13034.0,32482.035714285714,22437.5,186.67857142857142,198.0,11968.17857142857,12692.0,1202.2142857142858,845.5,0.9642857142857143,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,10,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.21428571428571427,0.4642857142857143,0.07142857142857142,0,75140.46428571429,75707.0,6562.785714285715,4864.0,,,,,9629.42857142857,9798.5,9629.42857142857,9798.5,9121.07142857143,3481.5,155.25,157.5,9464.17857142857,9570.0,1149.9642857142858,747.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,11,baseline,Qwen3.6-27B,28,2,0.07142857142857142,0.17857142857142858,0.4642857142857143,0.07142857142857142,0,79210.60714285714,80470.0,6225.892857142857,5344.5,,,,,9249.17857142857,9782.5,9249.17857142857,9782.5,8359.142857142857,3863.5,146.17857142857142,148.0,9093.0,9520.5,901.8214285714286,763.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,12,baseline,Qwen3.6-27B,28,0,0.0,0.14285714285714285,0.42857142857142855,0.07142857142857142,0,83065.53571428571,83480.0,5574.25,4767.5,,,,,8889.5,8830.0,8889.5,8830.0,6518.428571428572,2890.0,139.5,156.0,8740.0,8629.5,981.1428571428571,752.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,13,baseline,Qwen3.6-27B,28,0,0.0,0.21428571428571427,0.32142857142857145,0.14285714285714285,0,86792.85714285714,87042.5,6185.857142857143,4580.0,,,,,8471.107142857143,8324.0,8471.107142857143,8324.0,9041.285714285714,3082.0,141.57142857142858,162.0,8319.535714285714,8157.0,836.8214285714286,665.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,14,baseline,Qwen3.6-27B,28,2,0.07142857142857142,0.03571428571428571,0.39285714285714285,0.14285714285714285,0,90354.67857142857,91290.0,5834.5,4736.5,,,,,8574.67857142857,8461.0,8574.67857142857,8461.0,7497.285714285715,3305.5,135.64285714285714,141.0,8429.035714285714,8247.5,793.4642857142857,663.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,15,baseline,Qwen3.6-27B,28,2,0.07142857142857142,0.07142857142857142,0.35714285714285715,0.10714285714285714,0,93911.71428571429,94687.0,7097.392857142857,4814.5,,,,,8566.82142857143,7822.5,8566.82142857143,7822.5,11268.642857142857,4590.0,145.67857142857142,146.0,8411.142857142857,7714.0,771.5357142857143,653.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,16,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.10714285714285714,0.32142857142857145,0.14285714285714285,0,97455.28571428571,98098.0,5967.142857142857,4001.0,,,,,8429.57142857143,8024.5,8429.57142857143,8024.5,8244.857142857143,3085.0,164.42857142857142,172.5,8255.142857142857,7924.5,790.75,675.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,17,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.03571428571428571,0.32142857142857145,0.03571428571428571,0,100946.35714285714,102006.5,5227.571428571428,4244.5,,,,,8051.892857142857,7807.5,8051.892857142857,7807.5,6623.392857142857,3643.0,145.17857142857142,140.0,7896.714285714285,7605.0,748.0357142857143,652.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,18,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.07142857142857142,0.39285714285714285,0.07142857142857142,0,104301.39285714286,105609.0,5202.107142857143,4832.5,,,,,8147.857142857143,7856.5,8147.857142857143,7856.5,6684.071428571428,3408.5,138.78571428571428,145.5,7999.071428571428,7723.5,1173.392857142857,743.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,19,baseline,Qwen3.6-27B,28,2,0.07142857142857142,0.07142857142857142,0.25,0.10714285714285714,0,107820.64285714286,108747.5,4737.964285714285,4845.0,,,,,8111.714285714285,8178.0,8111.714285714285,8178.0,4934.964285714285,2584.5,126.92857142857143,138.5,7974.785714285715,8063.5,760.8928571428571,665.5,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,2,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.32142857142857145,0.5,0.03571428571428571,0,37205.0,37360.5,13713.535714285714,10785.0,,,,,12223.464285714286,12369.5,12223.464285714286,12369.5,29130.89285714286,21475.5,153.64285714285714,178.0,12059.82142857143,12263.0,1303.0714285714287,807.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,3,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.25,0.6071428571428571,0.03571428571428571,0,42404.142857142855,42431.5,10479.642857142857,9770.5,,,,,12198.107142857143,12700.0,12198.107142857143,12700.0,19088.535714285714,19757.5,154.89285714285714,179.0,12033.214285714286,12525.5,1015.0,821.5,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,4,baseline,Qwen3.6-27B,28,2,0.07142857142857142,0.35714285714285715,0.4642857142857143,0.03571428571428571,0,47464.0,47647.0,10622.964285714286,9201.0,,,,,12170.82142857143,12808.5,12170.82142857143,12808.5,18939.25,15996.5,176.25,213.5,11984.57142857143,12580.5,946.3214285714286,809.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,5,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.25,0.6785714285714286,0.03571428571428571,0,52464.96428571428,52838.0,9262.142857142857,6077.0,,,,,11693.714285714286,11583.0,11693.714285714286,11583.0,14115.285714285714,3809.5,144.10714285714286,151.0,11539.607142857143,11496.5,1114.0714285714287,867.5,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,6,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.21428571428571427,0.6428571428571429,0.10714285714285714,0,57310.357142857145,57910.0,8974.82142857143,8107.5,,,,,11409.607142857143,11519.5,11409.607142857143,11519.5,14260.42857142857,12134.5,174.28571428571428,189.0,11225.32142857143,11432.5,990.0,774.5,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,7,baseline,Qwen3.6-27B,28,1,0.03571428571428571,0.21428571428571427,0.6428571428571429,0.03571428571428571,0,62009.392857142855,62783.5,8674.25,7452.5,,,,,10996.75,11005.0,10996.75,11005.0,14185.035714285714,11408.0,170.35714285714286,199.5,10816.392857142857,10789.5,1070.75,851.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,8,baseline,Qwen3.6-27B,28,0,0.0,0.17857142857142858,0.5714285714285714,0.03571428571428571,0,66559.67857142857,67202.0,10147.035714285714,6701.0,,,,,10584.535714285714,10988.5,10584.535714285714,10988.5,17541.0,7184.5,159.21428571428572,175.5,10415.32142857143,10779.0,889.25,772.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,9,baseline,Qwen3.6-27B,28,0,0.0,0.14285714285714285,0.5,0.17857142857142858,0,70894.28571428571,71220.5,6545.892857142857,6200.5,,,,,10351.392857142857,10457.5,10351.392857142857,10457.5,8214.82142857143,4108.0,138.14285714285714,152.0,10203.25,10239.0,854.8214285714286,706.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,0,sft,Qwen3.6-27B-fixit-v2-glm,20,5,0.25,0.4,0.15,0.0,20,24268.8,24272.0,36801.5,31412.0,33027.2,27736.5,0.8725294361850202,0.8686502301451567,9747.05,9996.5,9747.05,9996.5,96518.2,80012.5,1.8,2.0,9736.25,9984.5,1687.6,1102.5,0.9,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,1,sft,Qwen3.6-27B-fixit-v2-glm,20,4,0.2,0.15,0.55,0.05,20,28583.55,28514.0,34439.45,28454.0,30203.3,23814.5,0.8416909846650265,0.844457602902755,10971.3,11130.0,10971.3,11130.0,86125.2,67635.0,1.9,2.0,10959.9,11118.0,1209.25,797.0,0.95,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,2,sft,Qwen3.6-27B-fixit-v2-glm,20,2,0.1,0.15,0.5,0.1,20,33221.05,33073.5,32275.7,24573.0,27930.8,20036.0,0.8122323079753513,0.8216467832182606,11200.5,11797.5,11200.5,11797.5,78924.75,58292.5,1.8,2.0,11189.7,11785.5,1232.35,784.0,0.9,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,3,sft,Qwen3.6-27B-fixit-v2-glm,20,3,0.15,0.1,0.6,0.1,20,37967.4,37332.5,25777.75,20363.5,21029.8,15340.0,0.7595712870684911,0.7626474355772013,12341.25,11918.0,12341.25,11918.0,58683.95,43542.0,2.0,2.0,12329.25,11906.0,1496.6,902.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,4,sft,Qwen3.6-27B-fixit-v2-glm,20,2,0.1,0.1,0.75,0.0,20,43204.85,42220.0,31504.45,30204.5,26863.9,25508.5,0.788207735755466,0.8482751897680127,12045.55,11680.5,12045.55,11680.5,76038.95,76140.0,2.0,2.0,12033.55,11668.5,1084.5,788.5,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,5,sft,Qwen3.6-27B-fixit-v2-glm,20,4,0.2,0.15,0.55,0.05,20,48208.95,46840.0,27820.65,25693.0,23269.45,20664.0,0.7953530244356615,0.8177119829577053,11692.2,11916.5,11692.2,11916.5,65976.85,59578.0,1.9,2.0,11680.8,11904.5,1027.25,769.0,0.95,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,6,sft,Qwen3.6-27B-fixit-v2-glm,20,3,0.15,0.05,0.7,0.05,20,53099.2,52033.5,20869.95,15194.0,16434.35,11413.5,0.7160437250978691,0.719189126729895,11506.45,11589.0,11506.45,11589.0,46126.2,31670.0,2.0,2.0,11494.45,11577.0,1290.6,810.0,1.0,0
definition_by_turn,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,7,sft,Qwen3.6-27B-fixit-v2-glm,20,3,0.15,0.1,0.7,0.0,20,57977.9,56728.5,23322.25,20767.0,18485.5,16387.5,0.7394004908715339,0.7877961365655037,12357.6,11484.5,12357.6,11484.5,51701.2,45239.0,2.0,2.0,12345.6,11472.5,1605.0,842.0,1.0,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,0,baseline,Qwen3.6-27B,20,0,0.0,0.65,0.05,0.0,20,27626.6,27790.0,54491.7,63357.5,33576.9,14278.5,0.5711986311627792,0.5554028766644643,61139.1,28712.0,61139.1,28712.0,104739.65,57439.0,435.45,426.0,54315.05,27572.5,1362.2,511.5,3.85,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,1,baseline,Qwen3.6-27B,20,0,0.0,0.75,0.05,0.1,20,48977.1,36560.0,12084.8,10851.0,3885.55,1397.0,0.2857596663127625,0.14589591638716692,24063.35,19237.5,24063.35,19237.5,14694.75,5588.0,163.75,127.5,22907.75,18768.5,1935.9,916.5,1.4,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,2,baseline,Qwen3.6-27B,20,0,0.0,0.55,0.2,0.1,20,57762.05,49421.5,12850.55,10088.5,4031.6,1052.5,0.20113994056252624,0.09646110041503331,26233.05,21864.5,26233.05,21864.5,13157.35,3779.5,173.3,163.0,23974.7,19398.0,2887.1,1352.0,0.9,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,3,baseline,Qwen3.6-27B,20,0,0.0,0.4,0.2,0.15,20,67559.45,64666.5,9338.45,9506.5,1950.55,1468.0,0.21511717415412948,0.17408575174673413,21468.1,22491.5,21468.1,22491.5,7106.15,6175.5,203.6,214.0,21255.0,22354.5,1676.8,1538.0,0.95,0
definition_by_turn,mha_bwd_d128,38c3b07c-f006-5f5e-9860-ba214c805a6b,4,baseline,Qwen3.6-27B,20,0,0.0,0.35,0.4,0.15,20,75480.4,71885.0,13600.1,8966.0,5717.4,1058.0,0.23410712002819428,0.144947273003216,22863.5,21553.5,22863.5,21553.5,18925.1,4430.0,214.55,201.0,19374.4,19843.0,2216.05,1508.0,0.95,0
