group,model,pair_key,arch,definition,workload,exp_dir,trajectory_id,turn,correctness,speedup,arch_tag,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,text_tokens,reasoning_fraction,content_chars,provider_visible_chars,provider_reasoning_chars,pre_code_chars,code_chars,code_block_count,think_block_chars,open_think_tags,close_think_tags,unclosed_think_tags,feedback_chars
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,0,Runtime error,0.0,,25741,50998,76739,,,,12065,12065,128413,280,11775,1,0,0,0,0,2119
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,1,Runtime error,0.0,,31214,8248,39462,,,,13073,13073,12801,304,12759,1,0,0,0,0,2123
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,2,Compilation error,,,36986,11264,48250,,,,12731,12731,26710,227,12494,1,0,0,0,0,350
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,3,Runtime error,0.0,,42106,7613,49719,,,,12869,12869,9156,150,12709,1,0,0,0,0,759
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,4,Compilation error,,,47510,10660,58170,,,,13247,13247,17202,296,12941,1,0,0,0,0,539
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,5,Runtime error,0.0,,52891,5177,58068,,,,12855,12855,170,76,12769,1,0,0,0,0,759
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,6,Runtime error,0.0,,58304,6293,64597,,,,13061,13061,3762,276,12775,1,0,0,0,0,759
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,7,Runtime error,0.0,,63783,9137,72920,,,,13480,13480,12864,363,13107,1,0,0,0,0,1281
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,8,Runtime error,0.0,,69537,6689,76226,,,,11316,11316,8819,264,11042,1,0,0,0,0,774
baseline,Qwen3.6-27B,hopper|gemm_n7168_k5120|94920358-01a8-4c5b-9209-3103fd490e94,hopper,gemm_n7168_k5120,94920358-01a8-4c5b-9209-3103fd490e94,/home/ubuntu/AccRL-exps/eval_runs/2026-0524-1345,exp_000,9,Runtime error,0.0,,74350,4343,78693,,,,8436,8436,2500,270,8156,1,0,0,0,0,774
