problem_id,problem_label,condition,run_dir,total,correctness,count,fraction
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Compilation error,80,0.500000
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Runtime error,74,0.462500
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Kernel Execution Timeout,2,0.012500
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Numerical error,3,0.018750
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Extraction error,1,0.006250
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Profiling Service Timeout,0,0.000000
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Sanitize Timeout,0,0.000000
mha_d128,MHA d128,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128,160,Other error,0,0.000000
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Compilation error,90,0.562500
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Runtime error,31,0.193750
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Kernel Execution Timeout,23,0.143750
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Numerical error,11,0.068750
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Extraction error,3,0.018750
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Profiling Service Timeout,1,0.006250
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Sanitize Timeout,0,0.000000
mha_d128,MHA d128,qwen36-27b,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128,160,Other error,1,0.006250
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Compilation error,89,0.556250
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Runtime error,64,0.400000
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Kernel Execution Timeout,2,0.012500
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Numerical error,2,0.012500
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Extraction error,2,0.012500
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Profiling Service Timeout,0,0.000000
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Sanitize Timeout,0,0.000000
mha_d128_causal,MHA d128 causal,qwen36-27b-linfo,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-linfo-mha-d128-causal,160,Other error,1,0.006250
