run,referenced_turn,referenced_turn_correctness,referenced_turn_distance,stale_rows
2026-0624-0939-gemm,1,Compilation error,3,1
2026-0624-0939-gemm,2,Correct,1,1
2026-0624-0939-gemm,2,Numerical error,2,1
2026-0624-0939-gemm,2,Runtime error,2,1
2026-0624-0939-gemm,3,Runtime error,2,1
2026-0624-0939-gemm,4,Runtime error,2,1
2026-0624-0939-gemm,5,Compilation error,2,1
2026-0624-0939-gemm,5,Runtime error,2,1
2026-0624-0939-mha-bwd-d128,1,Numerical error,2,1
2026-0624-0939-mha-bwd-d128,3,Compilation error,3,1
2026-0624-0939-mha-bwd-d128-causal,4,Numerical error,2,1
2026-0624-0939-mha-d128,0,Compilation error,3,1
2026-0624-0939-mha-d128,0,Compilation error,4,1
2026-0624-0939-mha-d128,0,Compilation error,6,1
2026-0624-0939-mha-d128,1,Numerical error,2,1
2026-0624-0939-mha-d128,1,Runtime error,2,1
2026-0624-0939-mha-d128,3,Compilation error,2,2
2026-0624-0939-mha-d128,3,Numerical error,2,1
2026-0624-0939-mha-d128,4,Numerical error,2,1
2026-0624-0939-mha-d128,4,Runtime error,2,1
2026-0624-0939-mha-d128,5,Compilation error,2,1
2026-0624-0939-mha-d128,5,Numerical error,2,2
2026-0624-0939-mha-d128-causal,0,Compilation error,5,1
2026-0624-0939-mha-d128-causal,0,Compilation error,7,1
2026-0624-0939-mha-d128-causal,3,Numerical error,2,1
2026-0624-0939-mha-d128-causal,3,Numerical error,3,1
2026-0624-0939-mha-d128-causal,5,Kernel Execution Timeout,2,1
