exp_dir,trajectory_id,failure_label,failure_turn,correct_turn,no_prior_correct,failure_speedup,correct_speedup,failure_arch_tag,correct_arch_tag
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_000,Runtime error,1,2,true,0.0,0.5198350214752019,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_000,Numerical error,5,6,false,0.0,0.6379676264358038,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_001,Numerical error,1,2,true,0.0,0.4818100776048782,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_001,Numerical error,3,4,false,0.0,0.5836784937212944,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_002,Runtime error,4,5,true,0.0,0.36969853196149177,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_003,Numerical error,1,2,true,0.0,0.3161954453687572,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_004,Runtime error,0,1,true,0.0,0.2752440993123349,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_004,Runtime error,2,3,false,0.0,0.4291134093657865,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_004,Runtime error,4,5,false,0.0,0.41349299208034723,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_006,Runtime error,1,2,true,0.0,0.7128510609847244,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_007,Runtime error,0,1,true,0.0,0.4911737612212462,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_007,Numerical error,4,5,false,0.0,0.5705094707079865,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_008,Runtime error,1,2,true,0.0,0.4459376650566165,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_009,Numerical error,1,2,true,0.0,0.472612779961506,H,H
/home/ubuntu/AccRL-exps/eval_runs/2026-0503-2313,exp_010,Numerical error,2,3,true,0.0,0.3522406297065836,H,H
