run,exp,task_definition,task_dim,task_family,feedback_after_turn,retrieved_definition,retrieved_dim,retrieved_family,bm25,best_fixed_kernel_path,retrieved_speedup,next_status,next_speedup
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,1,mha_bwd_d128_causal,d128,bwd,68.733,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_074/kernel_v0.cu,0.16992739982296007,COMPILE_ERROR,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,2,mha_with_lse_d128,d128,fwd,219.675,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,3,mha_with_lse_d128,d128,fwd,219.675,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,4,mha_with_lse_d128,d128,fwd,215.834,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,5,mha_with_lse_d128,d128,fwd,219.675,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,6,mha_with_lse_d128,d128,fwd,219.675,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,7,mha_with_lse_d128,d128,fwd,219.675,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,d128,bwd,8,mha_with_lse_d128,d128,fwd,221.841,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,0.31027020244804865,NO_NEXT_EVAL,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_001,mha_bwd_d128,d128,bwd,1,mha_bwd_d128,d128,bwd,139.864,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,0.13880119427381118,PASSED,0.139
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_001,mha_bwd_d128,d128,bwd,4,mha_bwd_d128,d128,bwd,564.614,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,0.13880119427381118,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_001,mha_bwd_d128,d128,bwd,5,mha_bwd_d128,d128,bwd,578.541,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,0.13880119427381118,PASSED,0.136
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_001,mha_bwd_d128,d128,bwd,7,mha_bwd_d128,d128,bwd,648.821,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,0.13880119427381118,NO_NEXT_EVAL,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,1,mha_bwd_d128_causal,d128,bwd,80.801,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_120/kernel_v0.cu,0.0018116202510118106,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,2,mha_bwd_d128_causal,d128,bwd,241.435,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,3,mha_bwd_d128_causal,d128,bwd,247.092,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,4,mha_bwd_d128_causal,d128,bwd,247.092,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,5,mha_bwd_d128_causal,d128,bwd,247.231,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,6,mha_bwd_d128_causal,d128,bwd,249.913,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,7,mha_bwd_d128_causal,d128,bwd,249.913,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_104/kernel_v0.cu,0.009969547835195842,FAILED,
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,d128,bwd,8,mha_bwd_d128_causal,d128,bwd,184.547,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_107/kernel_v0.cu,0.009690682471532845,NO_NEXT_EVAL,
