method,run,exp,definition,family,dim,causal,completed_turns,exit_status,feedback_turns,pass_turns,has_pass,best_turn_speedup,saved_success_kernels,best_saved_speedup
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_000,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_001,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_002,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_003,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_004,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_005,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_006,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128,exp_007,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_000,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_001,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_002,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_003,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_004,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_005,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_006,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-bwd-d128-causal,exp_007,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_000,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_001,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_002,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_003,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_004,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_005,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_006,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128,exp_007,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_000,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_001,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_002,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_003,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_004,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_005,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_006,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
notes_only,qwen36-27b-retrieved-notes-d128-4defs-mha-d128-causal,exp_007,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_000,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_001,mha_bwd_d128,bwd,d128,False,7,BadRequestError,7,3,True,0.168,3,0.167564854457386
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_002,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,exp_003,mha_bwd_d128,bwd,d128,False,8,LimitsExceeded,8,5,True,0.549,5,0.5486492801794802
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,exp_000,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,exp_001,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,2,True,0.173,2,0.17345900599141859
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,exp_002,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,2,True,0.17,2,0.17036540503509848
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128-causal,exp_003,mha_bwd_d128_causal,bwd,d128,True,8,LimitsExceeded,8,1,True,0.098,1,0.09805334674824524
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96,exp_000,mha_bwd_d96,bwd,d96,False,6,BadRequestError,6,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96,exp_001,mha_bwd_d96,bwd,d96,False,7,BadRequestError,7,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96,exp_002,mha_bwd_d96,bwd,d96,False,7,BadRequestError,7,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96,exp_003,mha_bwd_d96,bwd,d96,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96-causal,exp_000,mha_bwd_d96_causal,bwd,d96,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96-causal,exp_001,mha_bwd_d96_causal,bwd,d96,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96-causal,exp_002,mha_bwd_d96_causal,bwd,d96,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d96-causal,exp_003,mha_bwd_d96_causal,bwd,d96,True,7,BadRequestError,7,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128,exp_000,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,3,True,0.336,3,0.3363447427384633
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128,exp_001,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,4,True,0.503,4,0.5026705202723294
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128,exp_002,mha_with_lse_d128,fwd,d128,False,8,LimitsExceeded,8,3,True,0.027,3,0.02656286036243513
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128,exp_003,mha_with_lse_d128,fwd,d128,False,6,BadRequestError,6,2,True,0.213,2,0.21273193278041516
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128-causal,exp_000,mha_with_lse_d128_causal,fwd,d128,True,7,BadRequestError,7,3,True,0.102,3,0.10194842263335423
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128-causal,exp_001,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,1,True,0.278,1,0.27838376085469435
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128-causal,exp_002,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,6,True,0.172,6,0.17236336556049336
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d128-causal,exp_003,mha_with_lse_d128_causal,fwd,d128,True,8,LimitsExceeded,8,1,True,0.163,1,0.16252644092024912
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,mha_with_lse_d96,fwd,d96,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,mha_with_lse_d96,fwd,d96,False,6,BadRequestError,6,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,mha_with_lse_d96,fwd,d96,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_003,mha_with_lse_d96,fwd,d96,False,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96-causal,exp_000,mha_with_lse_d96_causal,fwd,d96,True,8,LimitsExceeded,8,1,True,0.058,1,0.05796133122726297
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96-causal,exp_001,mha_with_lse_d96_causal,fwd,d96,True,8,LimitsExceeded,8,0,False,,0,
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96-causal,exp_002,mha_with_lse_d96_causal,fwd,d96,True,8,LimitsExceeded,8,1,True,0.477,1,0.4770965812696049
fixed_kernel,qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96-causal,exp_003,mha_with_lse_d96_causal,fwd,d96,True,8,LimitsExceeded,8,1,True,0.012,1,0.0121858276953152
