run,run_dir,trajectory,exp_index,turn,status,definition,prompt_tag
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,0,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,1,Kernel Execution Timeout,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,2,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,3,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,4,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,5,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,6,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_000,0,7,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,0,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,1,Kernel Execution Timeout,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,2,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,3,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,4,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_001,1,5,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,0,Kernel Execution Timeout,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,1,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,2,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,3,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,4,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,5,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,6,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_002,2,7,Numerical error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_003,3,0,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_003,3,1,Compilation error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_003,3,2,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
note-feedback2-d96-8defs,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-d96,exp_003,3,3,Runtime error,mha_with_lse_d96,hopper-wo-knowledge
