run,task_definition,exp,feedback_after_turn,next_turn,rank,retrieved_definition,speedup,bm25,fixed_variants,current_behavior,next_behavior,best_fixed_kernel_path,source_error_kernel_path,correct_version,wrong_turn,trajectory_id,exp_dir
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,1,2,1,mha_bwd_d128_causal,0.16992739982296007,68.733,1,COMPILE_ERROR,COMPILE_ERROR,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_074/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128-causal/kernels/exp_000/kernel_t3.cu,0,3,exp_074,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,2,3,1,mha_with_lse_d128,0.31027020244804865,219.675,2,COMPILE_ERROR,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,3,4,1,mha_with_lse_d128,0.31027020244804865,219.675,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,4,5,1,mha_with_lse_d128,0.31027020244804865,215.834,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,5,6,1,mha_with_lse_d128,0.31027020244804865,219.675,2,FAILED:INCORRECT_NUMERICALx1,FAILED:RUNTIME_ERRORx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,6,7,1,mha_with_lse_d128,0.31027020244804865,219.675,2,FAILED:RUNTIME_ERRORx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,7,8,1,mha_with_lse_d128,0.31027020244804865,219.675,2,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_000,8,9,1,mha_with_lse_d128,0.31027020244804865,221.841,2,FAILED:INCORRECT_NUMERICALx1,NO_NEXT_EVAL_OBSERVED,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini/success/exp_010/kernel_v1.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-d128/kernels/exp_003/kernel_t0.cu,1,0,exp_010,/home/ubuntu/AccRL-exps/eval_runs/test-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_001,1,2,1,mha_bwd_d128,0.13880119427381118,139.864,3,COMPILE_ERROR,PASSED speedup 0.139x,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_018/kernel_t2.cu,0,2,exp_066,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
qwen36-27b-note-feedback2-mha-d128-d96-8defs-mha-bwd-d128,mha_bwd_d128,exp_001,4,5,1,mha_bwd_d128,0.13880119427381118,564.614,3,FAILED:INCORRECT_NUMERICALx1,FAILED:INCORRECT_NUMERICALx1,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini/success/exp_066/kernel_v0.cu,/home/ubuntu/AccRL-exps/eval_runs/qwen36-27b-mha-bwd-d128/kernels/exp_018/kernel_t2.cu,0,2,exp_066,/home/ubuntu/AccRL-exps/eval_runs/scale-d128-fixit-qwen36-27b-gemini
