definition_name,workload_uuid,M
gemm_n128_k2048,6458ded0-a0d3-4382-abcd-f2815b852ae9,93
gemm_n128_k2048,65301657-76be-4c6c-ba44-e740c186bc37,289
gemm_n128_k2048,cc2cb35a-bf2c-4a51-a82a-5a762b17e07b,952
gemm_n128_k2048,e3fced00-f851-471a-b2a3-d3b1fb632c5b,8828
gemm_n128_k2048,b241cadb-ab4d-4113-8579-4eae2ba74a37,492
gemm_n2048_k4096,584d85771a40498fb56ad8b57c4049a4,93
gemm_n2048_k4096,b1b357ea7c98484491f5baed129223e1,289
gemm_n2048_k4096,1a8ac05e5c784f87849356996308c0a4,952
gemm_n2048_k4096,e5931dc39ece4669b866483e6e2d6773,969
gemm_n2048_k4096,662593cec9b947a9b79803eb3b26e11a,8828
gemm_n2048_k5376,c9c670e1-8401-4b4d-937d-1eaab888b0a8,70
gemm_n2048_k5376,eddab9ce-5903-4fe7-843e-663e5e19f18b,232
gemm_n2048_k5376,ff1a3ad2-dd83-4663-a403-200084e9806b,901
gemm_n2048_k5376,eefd64c6-7a5f-4379-81b1-4e7b64a0d34c,2379
gemm_n2048_k5376,b71f74e8-35b1-4fa0-9374-f37cf023f993,8828
gemm_n21504_k5376,494b21f3-340c-4811-9ba7-04089fb16b32,70
gemm_n21504_k5376,71e871b3-ccf7-4204-aa5e-2dcec9faabe1,232
gemm_n21504_k5376,b18e17dd-13b5-4132-ba75-8b3a582396b6,901
gemm_n21504_k5376,fca34fcf-84bd-4836-afbc-30328dbe5f3c,2379
gemm_n21504_k5376,6ca60143-4a13-4e1e-9938-31a096c7a26c,8828
gemm_n256_k7168,bb5b51a5-34df-4a8c-9f07-2d3eb3d07627,80
gemm_n256_k7168,d09b28b7-50a8-4382-a383-7aaf36de1087,901
gemm_n28672_k4096,4c7c227f-3c0f-44eb-8e62-6f0fd507f276,70
gemm_n28672_k4096,e9dbb6fb-dcd7-4c59-a138-19f8acab3497,232
gemm_n28672_k4096,d7d2b46a-3430-472e-87bd-c5da54f4a024,972
gemm_n28672_k4096,05c12114-0686-4973-a9f3-cb03db06d110,2379
gemm_n28672_k4096,32cd2698-78a7-4446-9691-2b3e42fc68b7,8192
gemm_n34816_k5120,d3e53aaf-e9c0-41f5-843a-0109769cf788,70
gemm_n34816_k5120,a9a6f105-ac42-4e36-ac70-5bd409103c7f,232
gemm_n34816_k5120,7f3c07a7-98b0-417e-8948-b2264139c0f8,972
gemm_n34816_k5120,bc47fbd9-f456-44a1-9ad3-32721593512d,2379
gemm_n34816_k5120,71d5d1b8-3637-4015-935f-506be5b4f289,8192
gemm_n4096_k14336,c1e3dcee-7b0f-4e63-b99e-1666ced4cbb2,70
gemm_n4096_k14336,c17f8b5f-b224-427f-829c-a7e65bd33697,232
gemm_n4096_k14336,f1aa41cb-1eb1-4afa-86b2-a6cdd98b7638,972
gemm_n4096_k14336,917fc869-5332-4d61-8d62-ce03ed0d83b8,2379
gemm_n4096_k14336,86b21a3d-66e2-4837-9e15-948f282ed2df,8192
gemm_n4096_k4096,897b6544-56c2-4d96-98fd-453ae3418e4b,70
gemm_n4096_k4096,3ab6479f-c1d0-4743-b2d4-1a46b01f9db7,232
gemm_n4096_k4096,da2a2234-f5e9-4332-b62d-39865128153c,972
gemm_n4096_k4096,547e0ce5-e484-4e0c-8b38-f153fb7ce6d4,2379
gemm_n4096_k4096,b626104c-94cc-436b-9d2c-1d31432c1a87,8192
gemm_n4096_k5376,75a20f7c-3e48-4c9b-b1ee-386aa277ad79,70
