instruction,family,target_source,headers,occurrences,kernel_files,runs
__nv_bfloat16,cuda_intrinsic,comment_intrinsic,tma_bf16.h,18261,1140,14
__grid_constant__,cuda_intrinsic,comment_intrinsic,tma_bf16.h,3524,1040,15
__shared__,cuda_intrinsic,comment_intrinsic,tma_bf16.h,2120,1174,15
__align__,cuda_intrinsic,comment_intrinsic,tma_bf16.h,1804,656,15
__global__,cuda_intrinsic,comment_intrinsic,tma_bf16.h,1527,1174,15
bra,bra,asm_code,barrier.h,1109,1099,15
mbarrier.init.shared.b64,mbarrier.init,asm_code,barrier.h,1108,1104,15
mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,barrier.h,1094,1085,15
mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,barrier.h,1078,1061,15
fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,barrier.h,960,954,15
wgmma.mma_async.sync.aligned.m64n64k16.f32.bf16.bf16,wgmma.mma_async,asm_code,wgmma_bf16.h,849,470,7
wgmma.fence.sync.aligned,wgmma.fence,asm_code,wgmma_bf16.h,819,819,9
wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,wgmma_bf16.h,815,815,8
wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,wgmma_bf16.h,815,815,8
mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,barrier.h,681,650,13
fence.proxy.async,fence.proxy.async,asm_code,barrier.h,656,656,13
fence.proxy.async.shared::cta,fence.proxy.async,asm_code,barrier.h+tma_bf16.h,587,531,15
cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,tma_bf16.h,587,587,14
setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,simt.h,564,564,15
ex2.approx.ftz.f32,ex2,asm_code,simt.h,420,420,12
setp.ne.b32,setp,asm_code,wgmma_bf16.h,411,307,8
cp.async.bulk.commit_group,cp.async.bulk,asm_code,tma_bf16.h,349,349,10
cp.async.bulk.wait_group,cp.async.bulk,asm_code,tma_bf16.h,349,349,10
barrier.sync.aligned,barrier.sync,asm_code,barrier.h,330,330,10
mov.b32,mov,asm_code,simt.h,292,292,9
prefetch.tensormap,prefetch.tensormap,asm_code,tma_bf16.h,203,197,5
mov.u32,mov,asm_code,barrier.h+simt.h,194,147,8
cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,tma_bf16.h,190,190,6
setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,simt.h,149,149,9
barrier.cluster.arrive,barrier.cluster.arrive,asm_code,barrier.h,120,120,7
st.shared.v4.b32,st.shared,asm_code,simt.h,100,89,7
cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes.multicast::cluster.L2::cache_hint,cp.async.bulk.tensor,asm_code,tma_bf16.h,99,99,4
mapa.shared::cluster.u32,mapa,asm_code,barrier.h,99,90,6
stmatrix.sync.aligned.x2.m8n8.shared.b16,stmatrix,asm_code,wgmma_bf16.h,89,88,7
mbarrier.arrive.shared::cluster.b64,mbarrier.arrive,asm_code,barrier.h,58,58,3
cp.async.bulk.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk,asm_code,tma_bf16.h,44,20,3
mbarrier.arrive.expect_tx.shared::cluster.b64,mbarrier.arrive.expect_tx,asm_code,barrier.h,26,26,2
elect.sync,elect,asm_code,simt.h,18,18,3
selp.b32,selp,asm_code,simt.h,17,17,3
barrier.cluster.wait,barrier.cluster.wait,asm_code,barrier.h,8,8,2
barrier.arrive.aligned,barrier.arrive,asm_code,barrier.h,6,6,2
cp.async.bulk.global.shared::cta.bulk_group,cp.async.bulk,asm_code,tma_bf16.h,6,6,1
__ballot_sync,cuda_intrinsic,comment_intrinsic,simt.h,1,1,1
