run,arch,definition,instruction,family,target_source,occurrences
2026-0422-1002,hopper,gemm_n7168_k5120,__nv_bfloat16,cuda_intrinsic,comment_intrinsic,2244
2026-0422-1002,hopper,gemm_n7168_k5120,__grid_constant__,cuda_intrinsic,comment_intrinsic,573
2026-0422-1002,hopper,gemm_n7168_k5120,__align__,cuda_intrinsic,comment_intrinsic,244
2026-0422-1002,hopper,gemm_n7168_k5120,__shared__,cuda_intrinsic,comment_intrinsic,240
2026-0422-1002,hopper,gemm_n7168_k5120,mbarrier.init.shared.b64,mbarrier.init,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,mbarrier.arrive.expect_tx.shared::cta.b64,mbarrier.arrive.expect_tx,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,mbarrier.try_wait.parity.shared.b64,mbarrier.try_wait,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,bra,bra,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,__global__,cuda_intrinsic,comment_intrinsic,224
2026-0422-1002,hopper,gemm_n7168_k5120,wgmma.fence.sync.aligned,wgmma.fence,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,wgmma.commit_group.sync.aligned,wgmma.commit_group,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,wgmma.wait_group.sync.aligned,wgmma.wait_group,asm_code,224
2026-0422-1002,hopper,gemm_n7168_k5120,fence.mbarrier_init.release.cluster,fence.mbarrier_init,asm_code,208
2026-0422-1002,hopper,gemm_n7168_k5120,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes,cp.async.bulk.tensor,asm_code,203
2026-0422-1002,hopper,gemm_n7168_k5120,mbarrier.arrive.shared::cta.b64,mbarrier.arrive,asm_code,185
2026-0422-1002,hopper,gemm_n7168_k5120,fence.proxy.async.shared::cta,fence.proxy.async,asm_code,154
2026-0422-1002,hopper,gemm_n7168_k5120,cp.async.bulk.tensor.2d.global.shared::cta.tile.bulk_group,cp.async.bulk.tensor,asm_code,133
2026-0422-1002,hopper,gemm_n7168_k5120,cp.async.bulk.commit_group,cp.async.bulk,asm_code,133
2026-0422-1002,hopper,gemm_n7168_k5120,cp.async.bulk.wait_group,cp.async.bulk,asm_code,133
2026-0422-1002,hopper,gemm_n7168_k5120,prefetch.tensormap,prefetch.tensormap,asm_code,123
2026-0422-1002,hopper,gemm_n7168_k5120,fence.proxy.async,fence.proxy.async,asm_code,115
2026-0422-1002,hopper,gemm_n7168_k5120,wgmma.mma_async.sync.aligned.m64n64k16.f32.bf16.bf16,wgmma.mma_async,asm_code,110
2026-0422-1002,hopper,gemm_n7168_k5120,setmaxnreg.inc.sync.aligned.u32,setmaxnreg,asm_code,86
2026-0422-1002,hopper,gemm_n7168_k5120,mov.u32,mov,asm_code,64
2026-0422-1002,hopper,gemm_n7168_k5120,barrier.sync.aligned,barrier.sync,asm_code,53
2026-0422-1002,hopper,gemm_n7168_k5120,cp.async.bulk.tensor.2d.shared::cluster.global.mbarrier::complete_tx::bytes.multicast::cluster.L2::cache_hint,cp.async.bulk.tensor,asm_code,38
2026-0422-1002,hopper,gemm_n7168_k5120,setmaxnreg.dec.sync.aligned.u32,setmaxnreg,asm_code,37
