prompt_tag,num_tokens
hopper-no-hint,22314
hopper-00,23070
hopper-05,22972
hopper-07,23991
hopper-07-mha-patched,24340
hopper-08,25343
hopper-08-mha-patched,25692
hopper-012,24726
hopper-012-mha-patched,25075
hopper-013,26472
hopper-013-mha-patched,26821
b200-bf16,28815
b200-bf16-00,29571
b200-bf16-04,29080
b200-bf16-010,30155
b200-bf16-011,29657
b200-bf16-012,31218
b200-bf16-013,30100
hopper-no-hint-mha-patched,22663
triton-hopper,8328
triton-hopper-01,9204
triton-hopper-03,9319
triton-hopper-07,10005
triton-hopper-08,11357
triton-hopper-012,10740
triton-hopper-013,12486
triton-blackwell,8762
triton-blackwell-01,9638
triton-blackwell-03,10976
triton-blackwell-010,10826
triton-blackwell-011,10108
triton-blackwell-012,10580
triton-blackwell-013,9566
