path,num_tokens
structural_doc/document/arch_param_b200.md,413
structural_doc/document/arch_param_h100.md,259
structural_doc/document/debug_hints_sm90.md,444
structural_doc/document/hint_sm90.md,3375
structural_doc/document/ptx_knowledge_sm100_plus.md,6077
structural_doc/document/ptx_knowledge_sm100_plus_oribo.md,5748
structural_doc/document/ptx_knowledge_sm90_plus.md,3454
structural_doc/document/specific_hint_sm90.md,5138
structural_doc/headers/barrier.h,3875
structural_doc/headers/fa4_helpers.h,7431
structural_doc/headers/fa4_helpers_complete.h,7848
structural_doc/headers/simt.h,1537
structural_doc/headers/tma_bf16.h,6256
structural_doc/headers/tma_bf16_fp8.h,6275
structural_doc/headers/tma_bf16_sm100.h,6387
structural_doc/headers/umma_bf16.h,7064
structural_doc/headers/verfity_wgmma_d_layout.py,465
structural_doc/headers/wgmma_bf16.h,6781
structural_doc/headers/wgmma_bf16_fp8.h,11335
structural_doc/headers_wo_doc/barrier.h,2156
structural_doc/headers_wo_doc/simt.h,829
structural_doc/headers_wo_doc/tma_bf16.h,4276
structural_doc/headers_wo_doc/wgmma_bf16.h,6578
structural_doc/patterns/cluster_multicast_load.md,756
structural_doc/patterns/fa2_fwd.md,1130
structural_doc/patterns/fa3.pdf,22995
structural_doc/patterns/fa3_bwd.md,1483
structural_doc/patterns/fa3_bwd_2ker.md,2412
structural_doc/patterns/fa3_bwd_2ker_fwd_v0.md,4158
structural_doc/patterns/fa3_bwd_fwd_v0.md,3190
structural_doc/patterns/fa3_fwd_v0.md,1677
structural_doc/patterns/fa3_fwd_v1.md,3029
structural_doc/patterns/fa3_fwd_v1_only.md,2401
structural_doc/patterns/fa3_fwd_v2.md,4293
structural_doc/patterns/fa4.pdf,14868
structural_doc/patterns/fa4_fwd.md,4015
structural_doc/patterns/fa4_fwd_with_fa3.md,4470
structural_doc/patterns/fa4_fwd_with_fa3_wo_nongemm.md,2339
structural_doc/patterns/fa4_fwd_wo_nongemm.md,1904
structural_doc/patterns/fa4_lpt.md,565
structural_doc/patterns/fa4_non_gemm_opt.md,13577
structural_doc/patterns/fa4_tdblog_bwd.md,2403
structural_doc/patterns/fa4_tdblog_bwd_1cta.md,1285
structural_doc/patterns/fa4_tdblog_fwd.md,1340
structural_doc/patterns/fa4_tdblog_fwd_wo_nongemm.md,842
structural_doc/patterns/l2_swizzle.md,299
structural_doc/patterns/large_tiles.md,432
structural_doc/patterns/persistent_kernel.md,679
structural_doc/patterns/tma_store.md,265
structural_doc/patterns/warp_specialization.md,658
structural_doc/patterns/warp_specialization_cluster_multicast.md,611
structural_doc/patterns/warp_specialization_persistent_kernel_cluster_multicast.md,991
structural_doc/patterns/warp_specialization_persistent_kernel_cluster_multicast_async_schedule.md,539
